pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
FS,"Walker, Taijuan",592836,670541,No event,foul,Yordan Alvarez singles on a line drive to center fielder Brandon Marsh.,2024,Split-Finger
ST,"Walker, Taijuan",592836,514888,single,hit_into_play,Jose Altuve singles on a line drive to left fielder Austin Hays.,2024,Sweeper
CU,"Walker, Taijuan",592836,514888,No event,called_strike,Jose Altuve singles on a line drive to left fielder Austin Hays.,2024,Curveball
SI,"Walker, Taijuan",592836,514888,No event,ball,Jose Altuve singles on a line drive to left fielder Austin Hays.,2024,Sinker
SI,"Walker, Taijuan",592836,643289,field_out,hit_into_play,"Mauricio Dubón grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2024,Sinker
ST,"Walker, Taijuan",592836,701305,grounded_into_double_play,hit_into_play,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,Sweeper
FS,"Walker, Taijuan",592836,701305,No event,foul,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,Split-Finger
FF,"Walker, Taijuan",592836,701305,No event,ball,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,4-Seam Fastball
SI,"Walker, Taijuan",592836,701305,No event,foul,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,Sinker
FS,"Walker, Taijuan",592836,701305,No event,swinging_strike,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,Split-Finger
SI,"Walker, Taijuan",592836,701305,No event,ball,"Zach Dezenzo grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper. Jake Meyers out at 2nd. Zach Dezenzo out at 1st.",2024,Sinker
SI,"Walker, Taijuan",592836,676694,single,hit_into_play,Jake Meyers singles on a fly ball to right fielder Nick Castellanos.,2024,Sinker
ST,"Walker, Taijuan",592836,592325,field_out,hit_into_play,Ben Gamel flies out to center fielder Brandon Marsh.,2024,Sweeper
FS,"Walker, Taijuan",592836,592325,No event,called_strike,Ben Gamel flies out to center fielder Brandon Marsh.,2024,Split-Finger
FS,"Walker, Taijuan",592836,605170,field_out,hit_into_play,"Victor Caratini grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Split-Finger
CU,"Walker, Taijuan",592836,605170,No event,called_strike,"Victor Caratini grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Curveball
SI,"Walker, Taijuan",592836,665161,force_out,hit_into_play,"Jeremy Peña grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Jose Altuve to 3rd. Yordan Alvarez out at 2nd. Jeremy Peña to 1st.",2024,Sinker
SI,"Walker, Taijuan",592836,665161,No event,ball,"Jeremy Peña grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Jose Altuve to 3rd. Yordan Alvarez out at 2nd. Jeremy Peña to 1st.",2024,Sinker
SI,"Walker, Taijuan",592836,665161,No event,called_strike,"Jeremy Peña grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Jose Altuve to 3rd. Yordan Alvarez out at 2nd. Jeremy Peña to 1st.",2024,Sinker
SI,"Walker, Taijuan",592836,608324,field_out,hit_into_play,Alex Bregman pops out to first baseman Bryce Harper in foul territory.,2024,Sinker
FF,"Walker, Taijuan",592836,670541,walk,ball,Yordan Alvarez walks.,2024,4-Seam Fastball
ST,"Walker, Taijuan",592836,670541,No event,ball,Yordan Alvarez walks.,2024,Sweeper
CU,"Walker, Taijuan",592836,670541,No event,ball,Yordan Alvarez walks.,2024,Curveball
CU,"Walker, Taijuan",592836,670541,No event,ball,Yordan Alvarez walks.,2024,Curveball
FS,"Walker, Taijuan",592836,514888,double,hit_into_play,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Split-Finger
FS,"Walker, Taijuan",592836,514888,No event,foul,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Split-Finger
CU,"Walker, Taijuan",592836,514888,No event,ball,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Curveball
FS,"Walker, Taijuan",592836,514888,No event,foul,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Split-Finger
ST,"Walker, Taijuan",592836,514888,No event,ball,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Sweeper
FS,"Walker, Taijuan",592836,514888,No event,swinging_strike,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Split-Finger
FC,"Walker, Taijuan",592836,514888,No event,called_strike,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Cutter
SI,"Walker, Taijuan",592836,514888,No event,ball,Jose Altuve doubles (23) on a fly ball to center fielder Brandon Marsh.,2024,Sinker
FS,"Walker, Taijuan",592836,664728,strikeout,swinging_strike_blocked,Kyle Isbel strikes out swinging.,2024,Split-Finger
FS,"Walker, Taijuan",592836,664728,No event,foul_tip,Kyle Isbel strikes out swinging.,2024,Split-Finger
CU,"Walker, Taijuan",592836,664728,No event,ball,Kyle Isbel strikes out swinging.,2024,Curveball
FS,"Walker, Taijuan",592836,664728,No event,foul,Kyle Isbel strikes out swinging.,2024,Split-Finger
FC,"Walker, Taijuan",592836,664728,No event,ball,Kyle Isbel strikes out swinging.,2024,Cutter
SI,"Walker, Taijuan",592836,657557,single,hit_into_play,Paul DeJong singles on a line drive to right fielder Nick Castellanos.,2024,Sinker
SI,"Walker, Taijuan",592836,657557,No event,called_strike,Paul DeJong singles on a line drive to right fielder Nick Castellanos.,2024,Sinker
FS,"Walker, Taijuan",592836,624428,field_out,hit_into_play,"Adam Frazier grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",2024,Split-Finger
FF,"Walker, Taijuan",592836,624428,No event,foul,"Adam Frazier grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",2024,4-Seam Fastball
FC,"Walker, Taijuan",592836,624428,No event,called_strike,"Adam Frazier grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",2024,Cutter
SI,"Walker, Taijuan",592836,592669,home_run,hit_into_play,Hunter Renfroe homers (12) on a fly ball to left center field. MJ Melendez scores.,2024,Sinker
